provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FPPM_R40_MBBL.A,PET.8_NA_8FPPM_R40_MBBL.A,"PADD 4 Marketable Petroleum Coke Consumed at Refineries, Annual","PADD 4 Marketable Petroleum Coke Consumed at Refineries, Annual"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FPPC_R40_MBBL.A,PET.8_NA_8FPPC_R40_MBBL.A,"PADD 4 Catalyst Petroleum Coke Consumed at Refineries, Annual","PADD 4 Catalyst Petroleum Coke Consumed at Refineries, Annual"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FN0_R40_2.A,PET.8_NA_8FN0_R40_2.A,"PADD 4 Natural Gas Consumed at Refineries, Annual (Million Cubic Feet)","PADD 4 Natural Gas Consumed at Refineries, Annual (Million Cubic Feet)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FE0_R40_K.A,PET.8_NA_8FE0_R40_K.A,"PADD 4 Purchased Electricity Consumed at Refineries, Annual (Million Kilowatthours)","PADD 4 Purchased Electricity Consumed at Refineries, Annual (Million Kilowatthours)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8FS0_R40_B.A,PET.8_NA_8FS0_R40_B.A,"PADD 4 Purchased Steam Consumed at Refineries, Annual (Million Pounds)","PADD 4 Purchased Steam Consumed at Refineries, Annual (Million Pounds)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBBL,PET.8_NA_8NGFSHY_R40_MMCF.A,PET.8_NA_8NGFSHY_R40_MMCF.A,"PADD 4 Natural Gas Used as Feedstock for Hydrogen Production, Annual ","PADD 4 Natural Gas Used as Feedstock for Hydrogen Production, Annual "
US_EIA,REFINOBS,USA,gov_eia_PET,CRUDEOIL,Monthly,KBD,PET.M_EPC0_YIY_R30_2.M,PET.M_EPC0_YIY_R30_2.M,"PADD 3 Refinery Net Input of Crude Oil, Monthly","PADD 3 Refinery Net Input of Crude Oil, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPL0_YIY_R30_2.M,PET.M_EPL0_YIY_R30_2.M,"PADD 3 Refinery Net Input of Hydrocarbon Gas Liquids, Monthly","PADD 3 Refinery Net Input of Hydrocarbon Gas Liquids, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLP_YIY_R30_2.M,PET.M_EPLP_YIY_R30_2.M,"PADD 3 Refinery Net Input of Pentanes Plus, Monthly","PADD 3 Refinery Net Input of Pentanes Plus, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLL_YIY_R30_2.M,PET.M_EPLL_YIY_R30_2.M,"PADD 3 Refinery Net Input of Liquified Petroleum Gases, Monthly ","PADD 3 Refinery Net Input of Liquified Petroleum Gases, Monthly "
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOL_YIY_R30_2.M,PET.M_EPOL_YIY_R30_2.M,"PADD 3 Refinery Net Input of Other Liquids, Monthly","PADD 3 Refinery Net Input of Other Liquids, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOOH_YIY_R30_MBBLD.M,PET.M_EPOOOH_YIY_R30_MBBLD.M,"PADD 3 Refinery Net Input of Hydrogen, Monthly ","PADD 3 Refinery Net Input of Hydrogen, Monthly "
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOO_YIY_R30_2.M,PET.M_EPOO_YIY_R30_2.M,"PADD 3 Refinery Net Input of Other Hydrocarbons/Oxygenates, Monthly","PADD 3 Refinery Net Input of Other Hydrocarbons/Oxygenates, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOXE_YIY_R30_2.M,PET.M_EPOOXE_YIY_R30_2.M,"PADD 3 Refinery Net Input of Fuel Ethanol, Monthly ","PADD 3 Refinery Net Input of Fuel Ethanol, Monthly "
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOORD_YIY_R30_MBBLD.M,PET.M_EPOORD_YIY_R30_MBBLD.M,"PADD 3 Refinery Net Input of Renewable Diesel Fuel, Monthly ","PADD 3 Refinery Net Input of Renewable Diesel Fuel, Monthly "
